學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
0001,國立政治大學,01111001,教育學系,D 日,D 博士,101,45,56,8,9,9,11,13,11,5,9,3,6,2,4,5,6, -, -,30 臺北市,1 一般
0001,國立政治大學,01111001,教育學系,D 日,M 碩士,39,15,24,8,8,1,6,4,8,2,2, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,01111001,教育學系,D 日,B 學士,218,78,140,19,36,16,33,18,27,18,29, -, -, -, -, -, -,7,15,30 臺北市,1 一般
0001,國立政治大學,01114005,教育行政與政策研究所,D 日,M 碩士,48,14,34,3,10,6,10,2,8,3,6, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,01114006,學校行政碩士在職專班,N 職,M 碩士,80,28,52,7,16,9,17,8,10,1,7,3,2, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,01121004,幼兒教育研究所,D 日,M 碩士,54,5,49,3,11, -,14,2,14, -,10, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,02211019,宗教研究所,D 日,D 博士,27,15,12,2,1,2,3,4,1,4,1, -,1,1,2,2,3, -, -,30 臺北市,1 一般
0001,國立政治大學,02211019,宗教研究所,D 日,M 碩士,26,12,14,5,3,2,2,2,5,3,4, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,D 博士,25,18,7,5,1,2, -,2,1,2, -,2,2,4,1,1,2, -, -,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,M 碩士,58,45,13,10,1,9,4,13,3,12,5,1, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,B 學士,173,92,81,20,27,22,21,22,13,18,14, -, -, -, -, -, -,10,6,30 臺北市,1 一般
0001,國立政治大學,02221021,台灣史研究所,D 日,D 博士,19,12,7, -,3,2,1,3,1, -,1,1, -,4,1,2, -, -, -,30 臺北市,1 一般
0001,國立政治大學,02221021,台灣史研究所,D 日,M 碩士,54,36,18,8,6,7,4,10,5,11,3, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,D 博士,18,7,11, -,2,1,1, -,2, -, -,3,1,1,2,2,3, -, -,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,M 碩士,19,10,9,4,1,4,3, -,3,2,2, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,B 學士,180,80,100,25,22,18,22,12,27,14,22, -, -, -, -, -, -,11,7,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,D 博士,30,21,9,4,1,3,2,1,1,2,2,4, -,3, -,4,3, -, -,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,M 碩士,48,35,13,10,5,7,4,11, -,7,4, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,B 學士,190,104,86,22,29,30,20,20,14,24,13, -, -, -, -, -, -,8,10,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,D 博士,25,11,14, -,2,6, -,1,1,1,5,1,1, -,4,2,1, -, -,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,M 碩士,70,15,55,4,16,5,17,3,16,3,6, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,B 學士,272,75,197,19,43,18,41,17,40,13,52, -, -, -, -, -, -,8,21,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系英語教學碩士在職專班,N 職,M 碩士,28,5,23, -, -,1,15,1, -,2,6,1,2, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,02311011,日本語文學系,D 日,M 碩士,22,8,14,2,4,2,6,3,2,1,2, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,02311011,日本語文學系,D 日,B 學士,187,45,142,6,34,8,30,11,30,10,28, -, -, -, -, -, -,10,20,30 臺北市,1 一般
0001,國立政治大學,02311012,阿拉伯語文學系,D 日,B 學士,164,60,104,15,25,12,22,10,23,15,24, -, -, -, -, -, -,8,10,30 臺北市,1 一般
0001,國立政治大學,02311014,韓國語文學系,D 日,M 碩士,23, -,23, -,7, -,5, -,8, -,3, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,02311014,韓國語文學系,D 日,B 學士,144,21,123,3,28,5,31,6,25,5,27, -, -, -, -, -, -,2,12,30 臺北市,1 一般
0001,國立政治大學,02311015,土耳其語文學系,D 日,B 學士,115,28,87,10,20,4,20,3,25,6,15, -, -, -, -, -, -,5,7,30 臺北市,1 一般
0001,國立政治大學,02311016,歐洲語文學系,D 日,B 學士,274,51,223,13,48,11,49,6,43,12,50, -, -, -, -, -, -,9,33,30 臺北市,1 一般
0001,國立政治大學,02311017,斯拉夫語文學系,D 日,M 碩士,13,4,9, -,4,1,4,2, -,1,1, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,02311017,斯拉夫語文學系,D 日,B 學士,213,48,165,11,37,10,35,6,33,14,32, -, -, -, -, -, -,7,28,30 臺北市,1 一般
0001,國立政治大學,02311087,東南亞語言與文化學士學位學程,D 日,B 學士,125,39,86,16,36,12,25,6,14,2,10, -, -, -, -, -, -,3,1,30 臺北市,1 一般
0001,國立政治大學,02321007,台灣文學研究所,D 日,D 博士,9,4,5,1,2, -,1, -, -,1, -,1, -, -,1,1,1, -, -,30 臺北市,1 一般
0001,國立政治大學,02321007,台灣文學研究所,D 日,M 碩士,41,20,21,6,4,3,7,4,5,7,5, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系,D 日,D 博士,52,31,21,3,2,4,7,2,2,5,3,2,1,7,2,8,4, -, -,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系,D 日,M 碩士,99,40,59,12,12,12,13,7,14,9,20, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系,D 日,B 學士,336,82,254,15,66,15,62,28,47,12,62, -, -, -, -, -, -,12,17,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系國文教學碩士在職專班,N 職,M 碩士,75,12,63,5,17,5,9,1,16,1,9, -,12, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,02323002,華語文教學博士學位學程,D 日,D 博士,14,1,13, -,2, -,3,1,2, -,2, -,1, -,2, -,1, -, -,30 臺北市,1 一般
0001,國立政治大學,02323002,華語文教學碩士學位學程,D 日,M 碩士,50,10,40,1,9,4,17,3,10,2,4, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,02399018,語言學研究所,D 日,D 博士,9,5,4, -, -,1,1, -,1,1, -,1, -, -,2,2, -, -, -,30 臺北市,1 一般
0001,國立政治大學,02399018,語言學研究所,D 日,M 碩士,34,12,22,3,8,3,7,4,4,2,3, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03111024,經濟學系,D 日,D 博士,10,9,1,2, -,1, -,1, -,1, -, -, -,2,1,2, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03111024,經濟學系,D 日,M 碩士,95,71,24,29,14,31,10,5, -,6, -, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03111024,經濟學系,D 日,B 學士,415,229,186,48,40,52,44,55,42,60,47, -, -, -, -, -, -,14,13,30 臺北市,1 一般
0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,D 日,M 碩士,37,16,21,7,10,5,8,2,2,2,1, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03121026,政治學系,D 日,D 博士,23,17,6,1, -,2,2,2, -,2,2,2,2,1, -,7, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03121026,政治學系,D 日,M 碩士,72,45,27,11,8,12,5,12,6,10,8, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03121026,政治學系,D 日,B 學士,215,88,127,18,33,17,31,22,27,20,27, -, -, -, -, -, -,11,9,30 臺北市,1 一般
0001,國立政治大學,03121029,國際事務學院國家安全與大陸研究碩士在職專班,N 職,M 碩士,72,47,25,18,8,16,12,8,3,3,1,2,1, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03122045,外交學系,D 日,D 博士,8,6,2,2,1,2, -, -, -, -, -,2, -, -, -, -,1, -, -,30 臺北市,1 一般
0001,國立政治大學,03122045,外交學系,D 日,M 碩士,77,37,40,14,8,6,15,10,10,7,7, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03122045,外交學系,D 日,B 學士,278,116,162,26,40,25,35,18,39,32,39, -, -, -, -, -, -,15,9,30 臺北市,1 一般
0001,國立政治大學,03122045,外交學系戰略與國際事務碩士在職專班,N 職,M 碩士,75,50,25,14,12,18,8,9,3,5, -,4,2, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03122046,國際研究英語碩士學位學程,D 日,M 碩士,55,33,22,15,11,11,9,2,1,5,1, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03131032,心理學系,D 日,D 博士,9,4,5, -,1,2, -,1,1, -, -, -,2,1, -, -,1, -, -,30 臺北市,1 一般
0001,國立政治大學,03131032,心理學系,D 日,M 碩士,89,24,65,9,15,5,21,3,12,7,17, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03131032,心理學系,D 日,B 學士,212,62,150,12,30,10,42,15,33,16,36, -, -, -, -, -, -,9,9,30 臺北市,1 一般
0001,國立政治大學,03131033,輔導與諮商碩士學位學程,D 日,M 碩士,47,9,38,3,11,2,13,3,7,1,7, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03141030,社會學系,D 日,D 博士,12,7,5,1, -,1,1,2, -, -,2, -,2, -, -,3, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03141030,社會學系,D 日,M 碩士,59,24,35,5,10,9,10,6,7,4,8, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03141030,社會學系,D 日,B 學士,215,78,137,12,37,17,30,20,30,21,30, -, -, -, -, -, -,8,10,30 臺北市,1 一般
0001,國立政治大學,03143023,中東與中亞研究碩士學位學程,D 日,M 碩士,15,6,9,2,3,1,1,2,3,1,2, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03143028,東亞研究所,D 日,D 博士,33,20,13,2,1,2,2,5,2,1,2,4,2,4,3,2,1, -, -,30 臺北市,1 一般
0001,國立政治大學,03143028,東亞研究所,D 日,M 碩士,77,56,21,15,3,17,5,14,4,10,9, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03143036,日本研究博士學位學程,D 日,D 博士,9,5,4,1,1, -, -, -, -, -,3,2, -,1, -,1, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03143036,日本研究碩士學位學程,D 日,M 碩士,40,22,18,5,6,7,3,6,8,4,1, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03143038,俄羅斯研究所,D 日,M 碩士,31,19,12,5,3,7,3,4,2,3,4, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03143040,亞太研究英語博士學位學程,D 日,D 博士,70,37,33,4,7,8,2,7,8,7,4,4,8,3,2,4,2, -, -,30 臺北市,1 一般
0001,國立政治大學,03143040,亞太研究英語碩士學位學程,D 日,M 碩士,80,40,40,21,18,13,15,1,5,5,2, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03143043,地政學系,D 日,D 博士,11,6,5, -,1,1,1,3, -, -,2,1,1, -, -,1, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03143043,地政學系,D 日,M 碩士,66,31,35,15,17,13,17,2,1,1, -, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03143043,地政學系,D 日,B 學士,490,259,231,56,65,72,50,52,58,56,50, -, -, -, -, -, -,23,8,30 臺北市,1 一般
0001,國立政治大學,03143043,地政學系,N 職,M 碩士,100,55,45,19,9,9,19,16,9,7,7,4,1, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03143090,土地政策與環境規劃碩士原住民專班,D 日,M 碩士,40,15,25,4,6,3,8,4,6,4,5, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03191047,國家發展研究所,D 日,D 博士,35,22,13,5,1,4,2,1,2,3,2,2,1,3,5,4, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03191047,國家發展研究所,D 日,M 碩士,76,41,35,10,12,8,7,15,8,8,8, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03199048,勞工研究所,D 日,M 碩士,66,20,46,6,7,5,16,5,13,4,10, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03211049,傳播學院傳播碩士學位學程,D 日,M 碩士,239,50,189,19,52,9,53,11,46,10,38,1, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03211050,國際傳播英語碩士學位學程,D 日,M 碩士,66,21,45,7,22,8,13,2,6,4,4, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03211056,傳播學院博士班,D 日,D 博士,41,20,21,4,4,2,4,2,4,5,4,2,2,4,3,1, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03211056,傳播學院大一大二不分系,D 日,B 學士,391,109,282,48,138,61,144, -, -, -, -, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03211056,傳播學院碩士在職專班,N 職,M 碩士,94,29,65,8,15,6,17,7,14,3,12,5,7, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03213052,廣播電視學系,D 日,B 學士,218,78,140, -, -, -, -,30,62,38,51, -, -, -, -, -, -,10,27,30 臺北市,1 一般
0001,國立政治大學,03214051,新聞學系,D 日,D 博士,1, -,1, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03214051,新聞學系,D 日,B 學士,99,28,71, -, -, -, -,15,29,9,25, -, -, -, -, -, -,4,17,30 臺北市,1 一般
0001,國立政治大學,03214093,全球傳播與創新科技碩士學位學程,D 日,M 碩士,43,6,37,6,37, -, -, -, -, -, -, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03222054,圖書資訊與檔案學研究所,D 日,D 博士,14,5,9,1,1,1,2, -,2, -, -,3,3, -,1, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03222054,圖書資訊與檔案學研究所,D 日,M 碩士,58,12,46,5,19,6,19, -,7,1,1, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,03222054,圖書資訊與檔案學研究所圖書資訊學數位碩士在職專班,N 職,M 碩士,67,15,52,6,17,3,19,6,14, -, -, -,1, -,1, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,04111059,會計學系,D 日,D 博士,9,5,4,2, -,1,1,1,1, -, -,1, -, -, -, -,2, -, -,30 臺北市,1 一般
0001,國立政治大學,04111059,會計學系,D 日,M 碩士,136,59,77,23,39,27,33,7,5,2, -, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,04111059,會計學系,D 日,B 學士,392,172,220,39,43,39,59,49,51,41,61, -, -, -, -, -, -,4,6,30 臺北市,1 一般
0001,國立政治大學,04121065,財務管理學系,D 日,D 博士,8,3,5, -,1, -,1,2, -, -,1,1,1, -, -, -,1, -, -,30 臺北市,1 一般
0001,國立政治大學,04121065,財務管理學系,D 日,M 碩士,81,39,42,18,20,17,19,2,2,2,1, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,04121065,財務管理學系,D 日,B 學士,208,93,115,26,21,18,31,24,25,23,31, -, -, -, -, -, -,2,7,30 臺北市,1 一般
0001,國立政治大學,04121068,金融學系,D 日,D 博士,27,23,4,3, -,2,1,3,2,6, -,3, -,3, -,3,1, -, -,30 臺北市,1 一般
0001,國立政治大學,04121068,金融學系,D 日,M 碩士,75,53,22,24,9,21,10,6,3,2, -, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,04121068,金融學系,D 日,B 學士,255,133,122,26,28,32,26,36,24,29,39, -, -, -, -, -, -,10,5,30 臺北市,1 一般
0001,國立政治大學,04122070,財政學系,D 日,D 博士,7,5,2,1,1,2, -, -, -,1,1, -, -, -, -,1, -, -, -,30 臺北市,1 一般
0001,國立政治大學,04122070,財政學系,D 日,M 碩士,74,24,50,11,20,8,22,1,7,4,1, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,04122070,財政學系,D 日,B 學士,376,160,216,32,52,37,56,43,46,36,52, -, -, -, -, -, -,12,10,30 臺北市,1 一般
0001,國立政治大學,04123069,風險管理與保險學系,D 日,D 博士,16,13,3,1,1,1,1,1, -,3, -,1, -,3,1,3, -, -, -,30 臺北市,1 一般
0001,國立政治大學,04123069,風險管理與保險學系,D 日,M 碩士,78,37,41,16,19,13,16,6,5,2,1, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,04123069,風險管理與保險學系,D 日,B 學士,231,115,116,23,28,24,36,28,22,28,24, -, -, -, -, -, -,12,6,30 臺北市,1 一般
0001,國立政治大學,04131060,企業管理學系,D 日,D 博士,55,31,24,3,7,7,6,5,1,3,3,4,2,6,2,3,3, -, -,30 臺北市,1 一般
0001,國立政治大學,04131060,企業管理研究所(MBA學位學程),D 日,M 碩士,246,94,152,41,63,29,61,18,23,6,5, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,04131060,企業管理學系,D 日,B 學士,451,183,268,45,59,38,66,44,60,44,64, -, -, -, -, -, -,12,19,30 臺北市,1 一般
0001,國立政治大學,04131062,經營管理碩士學程高階經營班,N 職,M 碩士,490,283,207,96,72,94,73,53,44,26,10,14,8, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,04131062,經營管理碩士學程全球華商班,N 職,M 碩士,79,43,36,14,16,15,14,10,5,1, -,3,1, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,04131064,國際經營管理英語碩士學位學程,D 日,M 碩士,131,65,66,21,30,31,18,12,11,1,6, -,1, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,04131091,創新國際學院學士班,D 日,B 學士,115,42,73,15,38,15,22,12,13, -, -, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,04134041,公共行政學系,D 日,D 博士,16,8,8,1,1, -,1, -, -,1,2,2,1,1,2,3,1, -, -,30 臺北市,1 一般
0001,國立政治大學,04134041,公共行政學系,D 日,M 碩士,99,47,52,15,12,11,22,9,9,12,9, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,04134041,公共行政學系,D 日,B 學士,190,61,129,14,35,15,30,14,27,14,32, -, -, -, -, -, -,4,5,30 臺北市,1 一般
0001,國立政治大學,04134042,行政管理碩士學程領導決策現役軍人營區碩士在職專班,N 職,M 碩士,25,20,5, -, -,20,5, -, -, -, -, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,04134042,行政管理碩士學程,N 職,M 碩士,249,83,166,27,55,20,62,14,21,12,20,10,8, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,04134042,行政管理碩士學程現役軍人營區碩士在職專班,N 職,M 碩士,67,46,21,12,10,13,6,11,4,7,1,3, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,04141067,國際經營與貿易學系,D 日,D 博士,9,3,6, -, -,1,1, -,1, -,3,2,1, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,04141067,國際經營與貿易學系,D 日,M 碩士,121,50,71,19,35,23,24,8,9, -,3, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,04141067,國際經營與貿易學系,D 日,B 學士,397,168,229,37,49,42,47,41,52,37,67, -, -, -, -, -, -,11,14,30 臺北市,1 一般
0001,國立政治大學,04143055,廣告學系,D 日,B 學士,251,60,191, -, -, -, -,17,80,27,73, -, -, -, -, -, -,16,38,30 臺北市,1 一般
0001,國立政治大學,04199072,科技管理與智慧財產研究所,D 日,D 博士,25,12,13,3,1,1,1,1,7,2,3,3, -,2,1, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,04199072,科技管理與智慧財產研究所,D 日,M 碩士,165,59,106,16,36,17,37,18,22,8,11, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,04211073,法律學系,D 日,B 學士,741,327,414,61,104,76,102,85,90,86,105, -, -, -, -, -, -,19,13,30 臺北市,1 一般
0001,國立政治大學,04211074,法律科際整合研究所,D 日,M 碩士,92,46,46,9,14,8,14,15,9,14,9, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,04211075,法學院碩士在職專班,N 職,M 碩士,272,134,138,29,37,27,38,34,26,27,22,16,15,1, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,04212073,法律學系,D 日,D 博士,40,27,13,5,2,3,3,8,2,2,1,3,3,4,1,2,1, -, -,30 臺北市,1 一般
0001,國立政治大學,04212073,法律學系,D 日,M 碩士,245,123,122,35,34,37,26,20,42,31,20, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,05199083,神經科學研究所,D 日,M 碩士,4,1,3, -,2, -, -,1,1, -, -, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,05331077,應用物理研究所,D 日,M 碩士,19,17,2,4,1,10,1,1, -,2, -, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,05411078,應用數學系,D 日,D 博士,8,6,2,2, -,1, -,2, -,1,1, -, -, -, -, -,1, -, -,30 臺北市,1 一般
0001,國立政治大學,05411078,應用數學系,D 日,M 碩士,54,46,8,11,3,13,4,13, -,9,1, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,05411078,應用數學系,D 日,B 學士,183,137,46,33,9,34,8,31,14,22,12, -, -, -, -, -, -,17,3,30 臺北市,1 一般
0001,國立政治大學,05421079,統計學系,D 日,D 博士,6,4,2,1, -, -,1,1,1,2, -, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,05421079,統計學系,D 日,M 碩士,66,49,17,20,10,26,6,2,1,1, -, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,05421079,統計學系,D 日,B 學士,234,119,115,26,30,26,26,26,30,31,24, -, -, -, -, -, -,10,5,30 臺北市,1 一般
0001,國立政治大學,06131080,資訊管理學系,D 日,D 博士,49,37,12,7,3,7,1,6,2,5,1,4,3,3,1,5,1, -, -,30 臺北市,1 一般
0001,國立政治大學,06131080,資訊管理學系,D 日,M 碩士,110,51,59,22,30,22,21,7,7, -,1, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,06131080,資訊管理學系,D 日,B 學士,348,180,168,44,44,46,39,40,41,45,36, -, -, -, -, -, -,5,8,30 臺北市,1 一般
0001,國立政治大學,06131081,資訊科學系,D 日,D 博士,12,8,4,1,1,2,1, -,2,2, -,2, -, -, -,1, -, -, -,30 臺北市,1 一般
0001,國立政治大學,06131081,資訊科學系,D 日,M 碩士,167,128,39,60,25,41,5,16,7,11,2, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,06131081,資訊科學系,D 日,B 學士,236,176,60,40,14,50,16,41,17,37,11, -, -, -, -, -, -,8,2,30 臺北市,1 一般
0001,國立政治大學,06131081,資訊科學系,N 職,M 碩士,97,71,26,23,8,22,5,15,10,8,2,3,1, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,06131082,社群網路與人智計算國際研究生博士學位學程,D 日,D 博士,15,12,3,2, -,2,1, -,2,3, -,4, -,1, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,06134057,數位內容碩士學位學程,D 日,M 碩士,54,18,36,2,12,7,11,4,9,5,4, -, -, -, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,09231084,社會工作研究所,D 日,D 博士,15,5,10, -,2,2,1, -,3,1,1, -,3,2, -, -, -, -, -,30 臺北市,1 一般
0001,國立政治大學,09231084,社會工作研究所,D 日,M 碩士,60,22,38,4,8,6,9,7,10,5,10, -,1, -, -, -, -, -, -,30 臺北市,1 一般
0002,國立清華大學,01111084,教育與學習科技學系,D 日,D 博士,63,21,42,4,7,3,8,4,3,3,10,2,6,2, -,3,8, -, -,18 新竹市,1 一般
0002,國立清華大學,01111084,教育與學習科技學系,D 日,M 碩士,116,19,97,7,29,5,31,3,15,3,15, -,5,1,2, -, -, -, -,18 新竹市,1 一般
0002,國立清華大學,01111084,教育與學習科技學系,D 日,B 學士,184,51,133,15,33,12,32,10,29,11,32, -, -, -, -, -, -,3,7,18 新竹市,1 一般
0002,國立清華大學,01111084,教育與學習科技學系教育行政碩士在職專班,N 職,M 碩士,59,11,48,6,14,3,16,1,9, -,8, -,1, -, -,1, -, -, -,18 新竹市,1 一般
0002,國立清華大學,01111084,教育與學習科技學系課程與教學碩士在職專班,N 職,M 碩士,135,18,117,5,31,4,34,6,23,2,20,1,3, -,3, -,3, -, -,18 新竹市,1 一般
0002,國立清華大學,01111112,竹師教育學院學士班,D 日,B 學士,135,58,77,20,33,12,12,11,16,10,15, -, -, -, -, -, -,5,1,18 新竹市,1 一般
0002,國立清華大學,01113095,特殊教育學系,D 日,M 碩士,59,4,55, -,14,2,20,1,9,1,11, -,1, -, -, -, -, -, -,18 新竹市,1 一般
0002,國立清華大學,01113095,特殊教育學系,D 日,B 學士,158,27,131,9,36,4,31,8,31,6,27, -, -, -, -, -, -, -,6,18 新竹市,1 一般
0002,國立清華大學,01113110,學前特殊教育碩士在職學位學程,N 職,M 碩士,10, -,10, -, -, -, -, -, -, -,6, -,4, -, -, -, -, -, -,18 新竹市,1 一般
0002,國立清華大學,01115124,華德福教育碩士在職學位學程,N 職,M 碩士,24,4,20, -, -,3,11, -, -,1,9, -, -, -, -, -, -, -, -,18 新竹市,1 一般
0002,國立清華大學,01121091,幼兒教育學系,D 日,M 碩士,68,7,61,2,12,3,17,2,16, -,16, -, -, -, -, -, -, -, -,18 新竹市,1 一般
0002,國立清華大學,01121091,幼兒教育學系,D 日,B 學士,162,10,152, -,38,6,37,3,39,1,33, -, -, -, -, -, -, -,5,18 新竹市,1 一般
0002,國立清華大學,01121091,幼兒教育學系,N 職,M 碩士,65,3,62, -,19, -,11,2,15, -,8, -,5, -,1,1,3, -, -,18 新竹市,1 一般
0002,國立清華大學,01131085,數理教育研究所,D 日,M 碩士,76,42,34,15,7,12,13,10,11,5,2, -,1, -, -, -, -, -, -,18 新竹市,1 一般
0002,國立清華大學,01131085,數理教育研究所數學教育教師碩士在職專班,N 職,M 碩士,4,1,3, -, -, -, -, -, -, -, -, -, -, -, -,1,3, -, -,18 新竹市,1 一般
0002,國立清華大學,01131085,數理教育研究所,N 職,M 碩士,76,20,56,3,12,4,12,5,14,5,8,3,5, -,1, -,4, -, -,18 新竹市,1 一般
0002,國立清華大學,01131105,英語教學系,D 日,M 碩士,36,3,33, -,10,1,5,1,8,1,7, -,2, -, -, -,1, -, -,18 新竹市,1 一般
0002,國立清華大學,01131105,英語教學系,D 日,B 學士,174,51,123,12,33,11,24,9,27,13,27, -, -, -, -, -, -,6,12,18 新竹市,1 一般
